nct_id,Title,Conditions,Phases,Enrollment,DurationWeeks,Arms,DrugClass,Comparator,Masking,Allocation,InterventionModel,SponsorType,Region,PrimaryEndpoint,BaselineHbA1c,HbA1c_SD,EffectSize_HbA1c,PValue_HbA1c,Study Status,Study Results,label_reason,success_label_basic
NCT21530226,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,185,18,4,TZD,Placebo,Double,Non-Randomized,Parallel,Industry,Asia,CGM TIR,7.26,1.54,-0.443,0.005558914363643752,Completed,Has Results,Not met / not primary / not significant,0
NCT85577339,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,83,25,5,NovelSmallMolecule,StandardOfCare,Double,Randomized,Parallel,Industry,Europe,Weight,9.12,1.3,-0.841,2.9810775629135478e-05,Completed,Has Results,Not met / not primary / not significant,0
NCT50534733,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,90,13,3,SGLT2i,Placebo,Double,Randomized,Single Group,Industry,North America,HbA1c change,6.62,1.26,,,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT55031671,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,161,12,2,NovelSmallMolecule,Placebo,Double,Randomized,Parallel,Industry,North America,HbA1c change,8.12,0.67,-0.46,5.648409517888808e-10,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT43371821,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,44,16,3,GLP-1RA,DoseComparison,Double,Randomized,Parallel,Industry,North America,Weight,9.69,0.9,-0.949,8.053769717797366e-07,Completed,Has Results,Not met / not primary / not significant,0
NCT26429467,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,241,18,3,NovelSmallMolecule,Placebo,Double,Randomized,Parallel,Industry,North America,HbA1c change,8.17,1.45,,,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT93408848,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,299,15,4,Other,Placebo,Open Label,Randomized,Parallel,Industry,Multi-Region,HbA1c change,8.46,2.0,-0.453,0.0055936219710485124,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT80341070,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,30,22,4,NovelSmallMolecule,Active,Double,Randomized,Single Group,Other,Multi-Region,HbA1c change,8.93,1.4,-1.497,3.39022185849025e-05,Recruiting,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT67947860,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,95,11,3,NovelSmallMolecule,Placebo,Single,Randomized,Parallel,Academic,Europe,HbA1c change,7.2,1.36,-0.227,0.25068324355921934,Completed,Has Results,Not met / not primary / not significant,0
NCT46217292,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,72,17,2,NovelSmallMolecule,Active,Double,Randomized,Parallel,Industry,Europe,HbA1c change,8.45,1.23,-0.788,0.00012235229140200587,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT84048544,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,88,19,4,GLP-1RA,Placebo,Open Label,Randomized,Parallel,Industry,Multi-Region,Composite,8.44,0.89,-0.987,1.6497914145929826e-13,Completed,Has Results,Not met / not primary / not significant,0
NCT59088620,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,82,14,3,SGLT2i,Placebo,Double,Randomized,Parallel,Industry,Asia,Weight,9.7,1.35,-1.36,1.0815504047911872e-10,Completed,Has Results,Not met / not primary / not significant,0
NCT49907277,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,143,21,4,GLP-1RA,Placebo,Triple,Randomized,Crossover,Academic,North America,Weight,7.53,0.82,-1.177,0.0,Completed,Has Results,Not met / not primary / not significant,0
NCT50541359,Phase 2 Insulin trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,95,17,2,Insulin,Placebo,Open Label,Randomized,Parallel,Industry,North America,HbA1c change,8.13,0.8,-1.559,0.0,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT30451484,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,66,21,4,NovelSmallMolecule,Placebo,Double,Randomized,Crossover,Industry,Europe,HbA1c change,7.75,0.78,-0.799,4.369306250140426e-09,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT18292232,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,92,17,2,TZD,Placebo,Double,Randomized,Parallel,Industry,Asia,HbA1c change,7.68,1.34,-0.755,0.00013991774506916244,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT59912630,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,125,18,2,NovelSmallMolecule,StandardOfCare,Single,Randomized,Parallel,Industry,North America,HbA1c change,9.19,1.09,,,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT15743552,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,58,12,2,GLP-1RA,Placebo,Double,Randomized,Parallel,Industry,North America,HbA1c change,8.42,1.13,-1.162,2.712922209102686e-08,Recruiting,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT87246215,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,47,12,3,NovelSmallMolecule,Placebo,Double,Randomized,Crossover,Government,Europe,CGM TIR,8.01,1.1,-0.654,0.003818752513177981,"Active, not recruiting",No Results Posted,Not met / not primary / not significant,0
NCT84486804,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,244,23,5,SGLT2i,Placebo,Triple,Randomized,Parallel,Other,North America,Composite,8.04,0.82,-1.07,0.0,Recruiting,Has Results,Not met / not primary / not significant,0
NCT34908372,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,75,20,6,SGLT2i,Placebo,Triple,Randomized,Parallel,Industry,Europe,HbA1c change,8.01,0.93,-0.733,1.4668135575046648e-06,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT66849795,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,94,10,5,NovelSmallMolecule,Placebo,Open Label,Randomized,Crossover,Industry,Asia,HbA1c change,8.07,0.94,-0.518,0.00017239748623809614,Terminated,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT24870616,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,83,17,3,Other,Active,Double,Randomized,Parallel,Industry,Asia,HbA1c change,7.51,0.75,-0.302,0.009467023974096156,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT78227895,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,127,4,4,TZD,Placebo,Double,Randomized,Parallel,Industry,North America,HbA1c change,8.22,0.97,-0.663,5.733272623320573e-08,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT73047066,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,221,13,6,GLP-1RA,StandardOfCare,Open Label,Randomized,Parallel,Industry,North America,HbA1c change,8.15,0.83,-0.742,0.0,"Active, not recruiting",No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT41907336,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,129,22,3,TZD,DoseComparison,Single,Randomized,Single Group,Industry,Multi-Region,HbA1c change,7.87,1.24,-1.207,6.661338147750939e-15,Terminated,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT16112800,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,50,15,3,GLP-1RA,Placebo,Triple,Randomized,Parallel,Government,Europe,HbA1c change,8.51,1.27,-1.328,1.5469375336252256e-07,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT97362821,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,53,17,4,Other,Placebo,Open Label,Randomized,Parallel,Other,North America,HbA1c change,8.57,0.78,-0.171,0.2576299727983933,"Active, not recruiting",No Results Posted,Not met / not primary / not significant,0
NCT50111873,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,83,4,3,NovelSmallMolecule,Placebo,Double,Randomized,Parallel,Academic,North America,Weight,8.01,1.03,-0.79,7.003839886943197e-07,Completed,Has Results,Not met / not primary / not significant,0
NCT90380900,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,88,14,4,GLP-1RA,Active,Double,Randomized,Parallel,Academic,Multi-Region,HbA1c change,8.3,1.56,-0.957,4.917957238403936e-05,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT71012710,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,46,18,2,GLP-1RA,Placebo,Single,Randomized,Parallel,Industry,Multi-Region,HbA1c change,9.91,0.85,-1.2,1.6583068251918576e-11,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT80054513,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,144,19,3,SGLT2i,StandardOfCare,Double,Non-Randomized,Parallel,Industry,Multi-Region,HbA1c change,9.88,1.21,-0.805,1.5355478999445893e-08,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT78390948,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,61,22,5,Other,StandardOfCare,Triple,Randomized,Parallel,Industry,Asia,HbA1c change,7.66,1.13,-0.607,0.0028978241667665383,"Active, not recruiting",No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT27517483,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,195,15,2,DPP-4i,StandardOfCare,Double,Randomized,Parallel,Industry,Europe,HbA1c change,7.76,1.37,-0.518,0.00019613242415250642,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT42751542,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,226,15,4,NovelSmallMolecule,Placebo,Open Label,Randomized,Single Group,Industry,Europe,CGM TIR,7.66,1.17,-0.278,0.011810296695378919,Completed,Has Results,Not met / not primary / not significant,0
NCT52004889,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,89,8,3,TZD,DoseComparison,Open Label,Randomized,Parallel,Academic,North America,Weight,9.14,0.99,-0.792,1.0094963365236964e-07,Terminated,No Results Posted,Not met / not primary / not significant,0
NCT54801238,Phase 2 Insulin trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,121,15,2,Insulin,Placebo,Triple,Randomized,Parallel,Industry,Asia,FPG change,8.12,1.12,-1.151,1.1102230246251565e-15,Recruiting,No Results Posted,Not met / not primary / not significant,0
NCT13942338,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,57,8,3,GLP-1RA,Placebo,Single,Randomized,Single Group,Industry,Asia,HbA1c change,8.57,1.12,-1.763,0.0,"Active, not recruiting",No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT59191254,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,132,5,2,Other,Placebo,Double,Randomized,Single Group,Industry,North America,HbA1c change,9.8,1.08,,,"Active, not recruiting",No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT23886054,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,80,9,3,SGLT2i,DoseComparison,Open Label,Randomized,Parallel,Other,Multi-Region,HbA1c change,8.39,0.77,-0.592,1.182565828372617e-06,"Active, not recruiting",No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT76903830,Phase 2 Insulin trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,61,25,4,Insulin,Active,Double,Randomized,Parallel,Industry,Europe,HbA1c change,8.89,1.41,-1.417,2.8883016311986864e-08,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT71474405,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,87,14,3,NovelSmallMolecule,StandardOfCare,Triple,Randomized,Parallel,Industry,North America,Weight,8.76,1.37,-0.399,0.05443073017798916,Completed,Has Results,Not met / not primary / not significant,0
NCT93027504,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,81,17,4,TZD,Placebo,Double,Randomized,Parallel,Industry,Europe,HbA1c change,7.99,0.84,-0.884,2.02938776894257e-11,"Active, not recruiting",No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT77028593,Phase 2 Other trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,86,13,3,Other,DoseComparison,Triple,Randomized,Parallel,Academic,Multi-Region,HbA1c change,9.14,1.02,-1.114,1.006972283335017e-12,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT42997838,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,153,5,2,GLP-1RA,Placebo,Single,Non-Randomized,Parallel,Other,Multi-Region,HbA1c change,7.81,1.04,-0.645,6.388214834895933e-08,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT97075874,Phase 2 Insulin trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,70,22,3,Insulin,Placebo,Double,Randomized,Parallel,Industry,Asia,HbA1c change,9.34,0.81,-1.287,0.0,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT46976531,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,217,4,2,DPP-4i,DoseComparison,Double,Randomized,Parallel,Other,Other,Weight,7.99,0.63,-0.592,0.0,Completed,Has Results,Not met / not primary / not significant,0
NCT39324281,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,55,13,3,DPP-4i,Placebo,Double,Randomized,Parallel,Industry,Multi-Region,HbA1c change,8.07,0.93,-0.748,2.5749866734203763e-05,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT91498217,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,206,16,2,GLP-1RA,Placebo,Single,Randomized,Parallel,Academic,Multi-Region,HbA1c change,7.64,1.01,,,"Active, not recruiting",No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT43341373,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,63,17,3,GLP-1RA,Active,Double,Randomized,Parallel,Industry,Multi-Region,HbA1c change,7.75,0.74,-0.662,5.06328640792475e-07,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT16870886,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,99,12,3,SGLT2i,Placebo,Double,Randomized,Crossover,Industry,Europe,CGM TIR,8.1,1.14,,,Completed,Has Results,Not met / not primary / not significant,0
NCT52260022,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,80,5,4,SGLT2i,Placebo,Double,Randomized,Single Group,Academic,Multi-Region,HbA1c change,6.7,1.39,-0.389,0.07652847233766313,Completed,Has Results,Not met / not primary / not significant,0
NCT81611196,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,85,11,2,DPP-4i,Placebo,Triple,Randomized,Parallel,Industry,Asia,FPG change,8.24,1.31,-0.871,1.4723107116809686e-05,Terminated,No Results Posted,Not met / not primary / not significant,0
NCT27052422,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,143,12,4,TZD,Placebo,Open Label,Randomized,Parallel,Industry,Multi-Region,HbA1c change,8.04,1.07,-0.643,3.597113524822504e-07,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT51664650,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,195,11,4,TZD,StandardOfCare,Single,Randomized,Parallel,Academic,North America,HbA1c change,8.95,0.64,-1.111,0.0,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT21692935,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,170,22,5,DPP-4i,Active,Open Label,Randomized,Parallel,Other,Multi-Region,Weight,8.7,1.28,-0.369,0.00784934442694074,Completed,Has Results,Not met / not primary / not significant,0
NCT71783038,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,83,9,2,DPP-4i,Placebo,Double,Randomized,Parallel,Industry,Other,HbA1c change,7.9,1.14,-0.574,0.0011458547176023126,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT52813442,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,108,18,3,SGLT2i,Placebo,Open Label,Randomized,Parallel,Academic,Europe,HbA1c change,8.08,1.21,-1.003,9.8009955706857e-10,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT39717669,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,70,17,2,TZD,Placebo,Double,Randomized,Parallel,Academic,Other,HbA1c change,8.24,1.58,,,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT30421841,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,64,22,5,SGLT2i,Active,Open Label,Randomized,Parallel,Industry,Europe,HbA1c change,9.44,0.89,-0.562,0.00037929045282425466,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT60804989,Phase 2 GLP-1RA trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,59,15,4,GLP-1RA,DoseComparison,Double,Randomized,Parallel,Government,North America,HbA1c change,7.82,0.6,-0.885,1.1102230246251565e-15,Terminated,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT70283258,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,82,21,2,DPP-4i,DoseComparison,Single,Randomized,Parallel,Industry,North America,CGM TIR,7.9,0.84,-0.89,9.679923529404277e-12,Completed,Has Results,Not met / not primary / not significant,0
NCT94627547,Phase 2 DPP-4i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,111,15,2,DPP-4i,Placebo,Double,Randomized,Parallel,Academic,Multi-Region,HbA1c change,7.61,1.22,-0.632,0.00011734960747955547,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT49343672,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,42,19,4,SGLT2i,Placebo,Single,Non-Randomized,Single Group,Industry,Asia,HbA1c change,7.36,1.11,-0.654,0.006775429641429631,Recruiting,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT24461934,Phase 2 Insulin trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,97,7,2,Insulin,Placebo,Double,Randomized,Parallel,Industry,Europe,HbA1c change,8.61,0.8,-1.239,0.0,Terminated,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
NCT84941036,Phase 2 Insulin trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,197,4,3,Insulin,Active,Double,Randomized,Parallel,Industry,Asia,FPG change,8.54,0.75,-1.034,0.0,Completed,Has Results,Not met / not primary / not significant,0
NCT66678786,Phase 2 NovelSmallMolecule trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,165,18,2,NovelSmallMolecule,Placebo,Double,Randomized,Parallel,Industry,Europe,HbA1c change,9.3,1.01,-0.908,3.3306690738754696e-16,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT73023858,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,76,19,2,TZD,Active,Double,Non-Randomized,Parallel,Government,Europe,HbA1c change,9.13,0.79,-0.761,2.6980999656700533e-09,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT18750396,Phase 2 TZD trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,53,19,3,TZD,Active,Double,Randomized,Parallel,Other,Multi-Region,HbA1c change,10.08,1.23,-1.383,7.1175720872673764e-09,Completed,Has Results,"HbA1c improved (p<0.05, <=-0.30)",1
NCT38112997,Phase 2 SGLT2i trial in T2D (synthetic),Type 2 Diabetes Mellitus|Hyperglycemia,Phase 2,122,13,3,SGLT2i,Placebo,Open Label,Randomized,Parallel,Industry,Asia,HbA1c change,8.35,1.0,-0.826,9.62814272753576e-11,Terminated,No Results Posted,"HbA1c improved (p<0.05, <=-0.30)",1
